JobID|JobName|MaxRSS|Elapsed|ReqMem|
35256075_[3340-7001]|kplr000893647array.sh||00:00:00|1Gn|
35256075_1|kplr000893647array.sh||01:31:06|1Gn|
35256075_1.batch|batch|9356K|01:31:06|1Gn|
35256075_1.extern|extern|776K|01:31:06|1Gn|
35256075_2|kplr000893647array.sh||01:10:03|1Gn|
35256075_2.batch|batch|9352K|01:10:03|1Gn|
35256075_2.extern|extern|776K|01:10:03|1Gn|
35256075_3|kplr000893647array.sh||00:56:20|1Gn|
35256075_3.batch|batch|9352K|00:56:20|1Gn|
35256075_3.extern|extern|772K|00:56:20|1Gn|
35256075_4|kplr000893647array.sh||00:39:13|1Gn|
35256075_4.batch|batch|9348K|00:39:13|1Gn|
35256075_4.extern|extern|772K|00:39:13|1Gn|
35256075_5|kplr000893647array.sh||00:22:32|1Gn|
35256075_5.batch|batch|9352K|00:22:32|1Gn|
35256075_5.extern|extern|772K|00:22:32|1Gn|
35256075_6|kplr000893647array.sh||00:20:35|1Gn|
35256075_6.batch|batch|9352K|00:20:35|1Gn|
35256075_6.extern|extern|772K|00:20:35|1Gn|
35256075_7|kplr000893647array.sh||00:18:38|1Gn|
35256075_7.batch|batch|9356K|00:18:38|1Gn|
35256075_7.extern|extern|772K|00:18:38|1Gn|
35256075_8|kplr000893647array.sh||00:13:30|1Gn|
35256075_8.batch|batch|9344K|00:13:30|1Gn|
35256075_8.extern|extern|772K|00:13:30|1Gn|
35256075_9|kplr000893647array.sh||00:12:21|1Gn|
35256075_9.batch|batch|9348K|00:12:21|1Gn|
35256075_9.extern|extern|776K|00:12:21|1Gn|
35256075_10|kplr000893647array.sh||00:09:19|1Gn|
35256075_10.batch|batch|9352K|00:09:19|1Gn|
35256075_10.extern|extern|776K|00:09:19|1Gn|
35256075_11|kplr000893647array.sh||00:07:38|1Gn|
35256075_11.batch|batch|9340K|00:07:38|1Gn|
35256075_11.extern|extern|772K|00:07:38|1Gn|
35256075_12|kplr000893647array.sh||00:08:12|1Gn|
35256075_12.batch|batch|9336K|00:08:12|1Gn|
35256075_12.extern|extern|776K|00:08:12|1Gn|
35256075_13|kplr000893647array.sh||00:08:08|1Gn|
35256075_13.batch|batch|9348K|00:08:08|1Gn|
35256075_13.extern|extern|772K|00:08:08|1Gn|
35256075_14|kplr000893647array.sh||00:07:19|1Gn|
35256075_14.batch|batch|9352K|00:07:19|1Gn|
35256075_14.extern|extern|776K|00:07:19|1Gn|
35256075_15|kplr000893647array.sh||00:07:46|1Gn|
35256075_15.batch|batch|9352K|00:07:46|1Gn|
35256075_15.extern|extern|772K|00:07:46|1Gn|
35256075_16|kplr000893647array.sh||00:07:30|1Gn|
35256075_16.batch|batch|9340K|00:07:30|1Gn|
35256075_16.extern|extern|772K|00:07:30|1Gn|
35256075_17|kplr000893647array.sh||00:07:09|1Gn|
35256075_17.batch|batch|9356K|00:07:09|1Gn|
35256075_17.extern|extern|772K|00:07:09|1Gn|
35256075_18|kplr000893647array.sh||00:07:20|1Gn|
35256075_18.batch|batch|9336K|00:07:20|1Gn|
35256075_18.extern|extern|772K|00:07:20|1Gn|
35256075_19|kplr000893647array.sh||00:07:41|1Gn|
35256075_19.batch|batch|9352K|00:07:41|1Gn|
35256075_19.extern|extern|768K|00:07:41|1Gn|
35256075_20|kplr000893647array.sh||00:07:28|1Gn|
35256075_20.batch|batch|9344K|00:07:28|1Gn|
35256075_20.extern|extern|776K|00:07:28|1Gn|
35256075_21|kplr000893647array.sh||00:07:38|1Gn|
35256075_21.batch|batch|9336K|00:07:38|1Gn|
35256075_21.extern|extern|772K|00:07:38|1Gn|
35256075_22|kplr000893647array.sh||00:07:17|1Gn|
35256075_22.batch|batch|9352K|00:07:17|1Gn|
35256075_22.extern|extern|780K|00:07:18|1Gn|
35256075_23|kplr000893647array.sh||00:06:53|1Gn|
35256075_23.batch|batch|9344K|00:06:53|1Gn|
35256075_23.extern|extern|772K|00:06:53|1Gn|
35256075_24|kplr000893647array.sh||00:06:45|1Gn|
35256075_24.batch|batch|9352K|00:06:45|1Gn|
35256075_24.extern|extern|772K|00:06:45|1Gn|
35256075_25|kplr000893647array.sh||00:06:45|1Gn|
35256075_25.batch|batch|9344K|00:06:45|1Gn|
35256075_25.extern|extern|776K|00:06:45|1Gn|
35256075_26|kplr000893647array.sh||00:06:32|1Gn|
35256075_26.batch|batch|9352K|00:06:32|1Gn|
35256075_26.extern|extern|772K|00:06:35|1Gn|
35256075_27|kplr000893647array.sh||00:06:42|1Gn|
35256075_27.batch|batch|9348K|00:06:42|1Gn|
35256075_27.extern|extern|776K|00:06:42|1Gn|
35256075_28|kplr000893647array.sh||00:06:30|1Gn|
35256075_28.batch|batch|9312K|00:06:30|1Gn|
35256075_28.extern|extern|776K|00:06:30|1Gn|
35256075_29|kplr000893647array.sh||00:06:30|1Gn|
35256075_29.batch|batch|9352K|00:06:30|1Gn|
35256075_29.extern|extern|772K|00:06:30|1Gn|
35256075_30|kplr000893647array.sh||00:06:17|1Gn|
35256075_30.batch|batch|9336K|00:06:17|1Gn|
35256075_30.extern|extern|776K|00:06:17|1Gn|
35256075_31|kplr000893647array.sh||00:05:49|1Gn|
35256075_31.batch|batch|9344K|00:05:49|1Gn|
35256075_31.extern|extern|772K|00:05:49|1Gn|
35256075_32|kplr000893647array.sh||00:05:34|1Gn|
35256075_32.batch|batch|9348K|00:05:34|1Gn|
35256075_32.extern|extern|772K|00:05:34|1Gn|
35256075_33|kplr000893647array.sh||00:05:34|1Gn|
35256075_33.batch|batch|9344K|00:05:34|1Gn|
35256075_33.extern|extern|776K|00:05:34|1Gn|
35256075_34|kplr000893647array.sh||00:05:13|1Gn|
35256075_34.batch|batch|9336K|00:05:13|1Gn|
35256075_34.extern|extern|772K|00:05:13|1Gn|
35256075_35|kplr000893647array.sh||00:05:13|1Gn|
35256075_35.batch|batch|9336K|00:05:13|1Gn|
35256075_35.extern|extern|776K|00:05:13|1Gn|
35256075_36|kplr000893647array.sh||00:04:56|1Gn|
35256075_36.batch|batch|9348K|00:04:56|1Gn|
35256075_36.extern|extern|780K|00:04:56|1Gn|
35256075_37|kplr000893647array.sh||00:04:57|1Gn|
35256075_37.batch|batch|9340K|00:04:57|1Gn|
35256075_37.extern|extern|776K|00:04:57|1Gn|
35256075_38|kplr000893647array.sh||00:04:32|1Gn|
35256075_38.batch|batch|9340K|00:04:32|1Gn|
35256075_38.extern|extern|776K|00:04:32|1Gn|
35256075_39|kplr000893647array.sh||00:04:47|1Gn|
35256075_39.batch|batch|9344K|00:04:47|1Gn|
35256075_39.extern|extern|772K|00:04:47|1Gn|
35256075_40|kplr000893647array.sh||00:05:10|1Gn|
35256075_40.batch|batch|9340K|00:05:10|1Gn|
35256075_40.extern|extern|776K|00:05:10|1Gn|
35256075_41|kplr000893647array.sh||00:04:36|1Gn|
35256075_41.batch|batch|9340K|00:04:36|1Gn|
35256075_41.extern|extern|772K|00:04:36|1Gn|
35256075_42|kplr000893647array.sh||00:04:53|1Gn|
35256075_42.batch|batch|9336K|00:04:53|1Gn|
35256075_42.extern|extern|772K|00:04:53|1Gn|
35256075_43|kplr000893647array.sh||00:04:39|1Gn|
35256075_43.batch|batch|9352K|00:04:39|1Gn|
35256075_43.extern|extern|772K|00:04:39|1Gn|
35256075_44|kplr000893647array.sh||00:04:30|1Gn|
35256075_44.batch|batch|9348K|00:04:30|1Gn|
35256075_44.extern|extern|772K|00:04:30|1Gn|
35256075_45|kplr000893647array.sh||00:04:26|1Gn|
35256075_45.batch|batch|9336K|00:04:26|1Gn|
35256075_45.extern|extern|772K|00:04:26|1Gn|
35256075_46|kplr000893647array.sh||00:04:35|1Gn|
35256075_46.batch|batch|9336K|00:04:35|1Gn|
35256075_46.extern|extern|776K|00:04:35|1Gn|
35256075_47|kplr000893647array.sh||00:04:17|1Gn|
35256075_47.batch|batch|9352K|00:04:17|1Gn|
35256075_47.extern|extern|772K|00:04:17|1Gn|
35256075_48|kplr000893647array.sh||00:04:22|1Gn|
35256075_48.batch|batch|9344K|00:04:22|1Gn|
35256075_48.extern|extern|776K|00:04:22|1Gn|
35256075_49|kplr000893647array.sh||00:04:17|1Gn|
35256075_49.batch|batch|9336K|00:04:17|1Gn|
35256075_49.extern|extern|776K|00:04:17|1Gn|
35256075_50|kplr000893647array.sh||00:04:14|1Gn|
35256075_50.batch|batch|9352K|00:04:14|1Gn|
35256075_50.extern|extern|776K|00:04:14|1Gn|
35256075_51|kplr000893647array.sh||01:31:01|1Gn|
35256075_51.batch|batch|9304K|01:31:01|1Gn|
35256075_51.extern|extern|776K|01:31:01|1Gn|
35256075_52|kplr000893647array.sh||01:29:56|1Gn|
35256075_52.batch|batch|9300K|01:29:56|1Gn|
35256075_52.extern|extern|776K|01:29:56|1Gn|
35256075_53|kplr000893647array.sh||01:01:42|1Gn|
35256075_53.batch|batch|9352K|01:01:42|1Gn|
35256075_53.extern|extern|776K|01:01:42|1Gn|
35256075_54|kplr000893647array.sh||00:57:20|1Gn|
35256075_54.batch|batch|9348K|00:57:20|1Gn|
35256075_54.extern|extern|776K|00:57:20|1Gn|
35256075_55|kplr000893647array.sh||00:35:48|1Gn|
35256075_55.batch|batch|9300K|00:35:48|1Gn|
35256075_55.extern|extern|772K|00:35:48|1Gn|
35256075_56|kplr000893647array.sh||00:33:56|1Gn|
35256075_56.batch|batch|9352K|00:33:56|1Gn|
35256075_56.extern|extern|776K|00:33:56|1Gn|
